nom,age,profession,sexe
Personne_1,40,médecin,FEMME
Personne_2,25,pharmacien,female
Personne_3,48,comptable,H
Personne_4,25,vendeur,Homme
Personne_5,34,ingénieur,F
Personne_6,59,graphiste,FEMME
Personne_7,43,graphiste,female
Personne_8,51,médecin,féminin
Personne_9,22,pharmacien,masculin
Personne_10,42,ingénieur,Femme
Personne_11,51,pharmacien,Autre
Personne_12,31,graphiste,féminin
Personne_13,41,boulanger,None
Personne_14,34,comptable,M
Personne_15,18,médecin,M
Personne_16,58,médecin,masculin
Personne_17,26,pharmacien,FEMME
Personne_18,29,boulanger,female
Personne_19,57,vendeur,Femme
Personne_20,37,médecin,Homme
Personne_21,32,ingénieur,None
Personne_22,27,enseignant,M
Personne_23,39,graphiste,féminin
Personne_24,38,vendeur,Femme
Personne_25,54,ingénieur,None
Personne_26,26,pharmacien,Autre
Personne_27,23,vendeur,FEMME
Personne_28,29,ingénieur,FEMME
Personne_29,38,médecin,femme
Personne_30,45,graphiste,female
Personne_31,18,comptable,FEMME
Personne_32,55,graphiste,homme
Personne_33,31,pharmacien,masculin
Personne_34,38,boulanger,None
Personne_35,40,comptable,F
Personne_36,25,ingénieur,masculin
Personne_37,53,comptable,Homme
Personne_38,24,comptable,féminin
Personne_39,44,avocat,F
Personne_40,33,médecin,female
Personne_41,54,vendeur,F
Personne_42,44,pharmacien,F
Personne_43,31,pharmacien,femme
Personne_44,25,avocat,male
Personne_45,18,avocat,masculin
Personne_46,31,enseignant,féminin
Personne_47,49,médecin,None
Personne_48,23,ingénieur,masculin
Personne_49,57,pharmacien,homme
Personne_50,35,pharmacien,None
Personne_51,24,ingénieur,Homme
Personne_52,27,médecin,M
Personne_53,31,vendeur,homme
Personne_54,21,ingénieur,Autre
Personne_55,21,pharmacien,FEMME
Personne_56,28,boulanger,M
Personne_57,32,médecin,female
Personne_58,28,médecin,M
Personne_59,36,graphiste,féminin
Personne_60,20,enseignant,F
Personne_61,29,boulanger,male
Personne_62,41,graphiste,femme
Personne_63,34,ingénieur,Autre
Personne_64,24,comptable,male
Personne_65,46,boulanger,Femme
Personne_66,31,comptable,femme
Personne_67,21,comptable,homme
Personne_68,42,boulanger,H
Personne_69,40,vendeur,None
Personne_70,58,médecin,Homme
Personne_71,55,vendeur,féminin
Personne_72,46,avocat,female
Personne_73,53,médecin,Autre
Personne_74,31,médecin,None
Personne_75,57,comptable,male
Personne_76,58,pharmacien,femme
Personne_77,35,enseignant,M
Personne_78,57,graphiste,masculin
Personne_79,19,boulanger,H
Personne_80,32,boulanger,male
Personne_81,24,médecin,M
Personne_82,28,enseignant,féminin
Personne_83,49,ingénieur,Homme
Personne_84,31,médecin,Homme
Personne_85,50,graphiste,male
Personne_86,56,boulanger,Homme
Personne_87,43,vendeur,masculin
Personne_88,27,comptable,H
Personne_89,59,graphiste,FEMME
Personne_90,56,boulanger,Homme
Personne_91,40,pharmacien,femme
Personne_92,41,pharmacien,Femme
Personne_93,53,pharmacien,Homme
Personne_94,33,médecin,Homme
Personne_95,41,médecin,homme
Personne_96,28,pharmacien,homme
Personne_97,54,ingénieur,H
Personne_98,38,avocat,female
Personne_99,31,comptable,FEMME
Personne_100,49,médecin,male
